gene,fg,bg,ratio,p,LRT,tested,informative,outliers,p_UT,LRT_UT
ABHD13,0.1273905664879303,0.1546130689973848,0.8239314264571324,0.4983506908789312,0.4584469458959575,6,0,0,0.02079396268110134,13.29162093238392
ABHD14A,1.601508905498773,1.027328405413723,1.5589064772854377,0.0001788424756888896,14.04126629788152,6,2,0,8.747169651257547e-05,26.0447132661302
ABHD14B,0.6752667923939655,0.6519080645996337,1.0358313220264845,0.8528135889303072,0.03442126885602192,6,0,0,0.2691941022634727,6.400281408645242
ABHD15,0.5151488882231026,0.7441431678946724,0.6922712059301173,0.003365763828080626,8.59776188043179,6,0,0,0.1091124921141894,8.998788456581678
ABHD16A,0.2890782570198607,0.2222477153631305,1.300702941074268,0.1454490219051975,2.119341993931812,6,0,1,9.94498182560477e-06,30.86833025317901
ABHD16B,0.5328676720696254,0.7958871428281977,0.669526674568547,0.005521482955553769,7.700195996316324,5,0,1,0.1478215136404857,6.782794315251522
ABHD17A,0.1594736018400131,0.2589519388155431,0.6158424708826354,0.174138962810345,1.846946412403668,4,0,0,0.06515616470444963,7.221739116585013
ABHD17B,0.1009748410041306,0.0754658202108996,1.3380208513197436,0.6633985050019562,0.1894215356824134,6,0,0,0.569459583953438,3.861940599394529
ABHD17C,0.06578608271773602,0.1899233046758066,0.346382361185379,0.1894909460500797,1.721571018176746,2,0,0,0.5765651321557352,0.3118206053918584
ABHD2,0.08329142184558344,0.106208925786626,0.7842224297882093,0.4491529840837888,0.5727884484122114,6,0,0,0.7583037068741398,2.62013478622157
ABHD3,0.4047362883162101,0.2433265561405656,1.6633461416451434,0.01262542677378486,6.220853048838762,6,0,1,0.01676687215206385,13.82400421758575
ABHD4,0.1986829459941651,0.1535221226164374,1.294164922996527,0.3120988020629104,1.021773065217531,6,0,1,0.0003777624344890596,22.74423797680447
ABHD5,0.3133232904457863,0.3212025306980277,0.9754695573689333,0.9032053862040216,0.01478976206271909,6,0,0,0.5131196140720751,4.256414822853912
ABHD6,0.4146117975741598,0.3683895020204069,1.125471261532291,0.4924914095657116,0.4710785361367016,6,0,0,0.08056410353412302,9.817846655088942
ABHD8,0.2723950274462467,0.3061618767760428,0.88970916403646,0.6620035553250959,0.1910989323332615,5,0,0,0.06033636591936986,9.030713162213942
ABI1,0.159890516020258,0.08378171868944112,1.9084177135698788,0.01292109558328813,6.179881147320884,6,0,1,5.979529541599859e-05,26.89486734348611
ABI2,0.0488617268275769,0.04218820876707317,1.158184437204934,0.7135780685645094,0.1347292984564774,6,0,0,0.6390138412041136,3.397085532716119
ABI3,0.6927443069850712,0.7253305108664395,0.9550739926238003,0.7577351957032644,0.09514525007580232,6,0,0,0.1437698498490436,8.234632635258095
ABI3BP,0.7566113809416453,0.7142871161721827,1.0592538543832004,0.4336840787928563,0.6129370992421173,6,0,0,0.04989717121349091,11.07582398314116
ABL1,0.3700321364625362,0.4093140054334857,0.9040299905463829,0.3124431403688712,1.020319898641901,6,0,0,0.1239737595518324,8.64758444367908
ABL2,0.2064261534662229,0.239711003863382,0.8611459221282596,0.2414881179384429,1.3718859364526,6,0,4,2.721384945170158e-07,38.70601183560939
ABLIM1,0.4657355685756653,0.4232636254238817,1.1003439478392447,0.4203754950013731,0.6492652483539132,6,0,6,0,94.31999894470937
ABLIM2,0.7489172215511941,0.4463942491396444,1.6777035613577367,3.146608511195303e-06,21.72501776841091,6,2,0,1.184585333158239e-07,40.49865164425864
ABLIM3,0.07921219161035986,0.09195195881752613,0.8614519215142804,0.5720574298813681,0.3192521375603974,6,0,0,0.7641599184471107,2.58159336513927
ABO,1.777199936407573,1.445466148046945,1.2294995208354433,0.06770542937249302,3.337791454532635,4,1,1,3.384100222270092e-09,42.34836051515776
